Event_ID,Event Year,Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Alert Criteria
1001,2002-01-01,January,2002-01-30 00:00:00,06:00:00,2002-02-07 00:00:00.000000000,12:00:00,Oklahoma,SPP,Ice Storm,500.0,1881134,
1002,2002-01-01,January,2002-01-29 00:00:00,,,,Metropolitan Kansas City Area,SPP,Ice Storm,500-600,270000,
1003,2002-01-01,January,2002-01-30 00:00:00,16:00:00,2002-02-10 00:00:00.000000000,21:00:00,Missouri,SPP,Ice Storm,210.0,95000,
1004,2002-01-01,February,2002-02-27 00:00:00,10:48:00,2002-02-27 00:00:00.000000000,11:35:00,California,WSCC,Interruption of Firm Load,300.0,255000,
1005,2002-01-01,March,2002-03-09 00:00:00,00:00:00,2002-03-11 00:00:00.000000000,12:00:00,Lower Peninsula of Michigan,ECAR,Severe Weather,190.0,190000,
1006,2002-01-01,April,2002-04-08 00:00:00,15:00:00,2002-04-09 00:00:00.000000000,00:00:00,Arizona,WSCC,Vandalism,0.0,0,
1007,2002-01-01,July,2002-07-09 00:00:00,12:27:00,2002-07-09 00:00:00.000000000,19:54:00,California,WSCC,Interruption of Firm Power,240.0,,
1008,2002-01-01,July,2002-07-19 00:00:00,11:51:00,2002-07-19 00:00:00.000000000,16:30:00,California,WSCC,Interruption of Firm Power Unit Tripped,240.0,,
1009,2002-01-01,July,2002-07-20 00:00:00,12:40:00,2002-07-20 00:00:00.000000000,20:12:00,New York,NPCC,Fire,278.0,63500,
1010,2002-01-01,August,2002-08-02 00:00:00,12:43:00,2002-08-02 00:00:00.000000000,18:36:00,Illinois,MAIN,Interruption of Firm Power,232.0,53565,
1011,2002-01-01,August,2002-08-09 00:00:00,08:23:00,2002-08-09 00:00:00.000000000,12:13:00,Florida,SERC,Interruption of Firm Power,51.0,25000,
1012,2002-01-01,August,2002-08-25 00:00:00,03:41:00,2002-08-25 00:00:00.000000000,09:17:00,California,WSCC,Interruption of Firm Power,120.0,,
1013,2002-01-01,August,2002-08-28 00:00:00,14:09:00,2002-08-28 00:00:00.000000000,15:38:00,Florida,SERC,Severe Weather,67.6,25000,
1014,2002-01-01,October,2002-10-03 00:00:00,03:33:00,2002-10-12 00:00:00.000000000,00:00:00,Coastal Areas of Southern Louisiana,SPP,Hurricane Lily,NA,242910,
1015,2002-01-01,November,2002-11-06 00:00:00,22:00:00,,,Northern and Central California,WSCC,Winter Storm,270.0,939000,
1016,2002-01-01,November,2002-11-17 00:00:00,15:48:00,,,"Northport, NY",NPPC,Cable Tripped,0.0,0,
1017,2002-01-01,November,2002-11-17 00:00:00,06:00:00,2002-11-21 00:00:00.000000000,08:00:00,Northwest and North Central Connecticut,NPCC,Ice Storm,NA,224912,
